hour,day,month,trip_seconds,trip_miles,trip_total,_#NO_CLASS#_
0.614583,0.233333,0.272727,0.056462,0.260000,0.015604,-1
0.937500,0.400000,0.454545,0.056462,0.340000,0.017617,-1
0.114583,0.800000,0.727273,0.041405,0.300000,0.021812,-1
0.812500,0.066667,0.181818,0.244668,1.680000,0.078020,-1
0.791667,0.033333,0.818182,0.071518,0.580000,0.027685,-1
0.770833,0.300000,0.545455,0.109159,0.760000,0.036409,-1
0.770833,0.833333,0.727273,0.124216,0.740000,0.041779,-1
0.302083,0.733333,0.000000,0.086575,0.240000,0.027047,-1
0.791667,0.600000,0.454545,0.056462,0.280000,0.018960,-1
0.395833,0.300000,0.909091,0.086575,0.340000,0.030537,-1
0.677083,0.933333,0.818182,0.048934,0.200000,0.020973,-1
0.552083,0.300000,0.000000,0.026349,0.120000,0.020570,-1
0.739583,0.500000,1.000000,0.116688,0.880000,0.037752,-1
0.312500,1.000000,0.545455,0.101631,0.360000,0.031913,-1
0.645833,0.866667,0.000000,0.033877,0.180000,0.026007,-1
0.833333,0.233333,1.000000,0.018821,0.200000,0.012584,-1
0.677083,0.966667,0.818182,0.041405,0.280000,0.014262,-1
0.843750,0.300000,0.818182,0.063990,0.420000,0.022315,-1
0.687500,0.366667,0.454545,0.026349,0.180000,0.013591,-1
0.968750,0.200000,0.909091,0.222083,2.420000,0.081040,-1
0.812500,0.300000,0.181818,0.033877,0.240000,0.017617,-1
0.687500,0.866667,0.545455,0.056462,0.400000,0.018960,-1
0.583333,0.066667,0.454545,0.071518,0.360000,0.018289,-1
0.281250,0.033333,0.181818,0.056462,0.220000,0.026678,-1
0.614583,0.433333,0.000000,0.056462,0.540000,0.030403,-1
0.645833,0.533333,0.727273,0.079046,0.360000,0.024329,-1
0.572917,0.966667,0.363636,0.116688,1.660000,0.055872,-1
0.958333,0.900000,0.818182,0.041405,0.260000,0.019295,-1
0.614583,0.466667,0.272727,0.101631,1.020000,0.038423,-1
0.427083,0.600000,0.545455,0.063990,0.140000,0.024329,-1
0.322917,0.500000,0.272727,0.056462,0.280000,0.021678,-1
0.541667,0.700000,0.727273,0.244668,1.160000,0.062752,-1
0.614583,0.300000,0.454545,0.018821,0.100000,0.017617,-1
0.708333,0.433333,0.454545,0.124216,1.720000,0.075638,-1
0.375000,0.833333,0.454545,0.079046,0.860000,0.032383,-1
0.854167,0.966667,0.363636,0.041405,0.260000,0.018289,-1
0.552083,0.066667,0.454545,0.079046,0.360000,0.024329,-1
0.645833,0.666667,0.363636,0.207026,2.500000,0.104631,-1
0.364583,0.000000,0.181818,0.056462,0.200000,0.018456,-1
