id,Label,Number_Points,Coord-0,Coord-1,hour,trip_seconds
89,89,2,9,2,0.391304,0.105395
90,90,1,13,4,0.565217,0.207026
91,91,1,6,4,0.260870,0.169385
92,92,1,12,8,0.521739,0.335006
93,93,2,18,1,0.782609,0.063990
94,94,2,6,2,0.260870,0.094103
95,95,1,16,4,0.695652,0.176913
96,96,1,19,6,0.826087,0.267252
97,97,2,7,0,0.304348,0.037641
98,98,1,5,5,0.217391,0.214555
99,99,2,18,4,0.782609,0.184442
100,100,1,14,5,0.608696,0.244668
101,101,2,4,2,0.173913,0.097867
102,102,1,11,5,0.478261,0.237139
103,103,2,13,5,0.565217,0.218319
104,104,1,21,4,0.913043,0.176913
105,105,1,11,4,0.478261,0.199498
106,106,1,0,1,0.000000,0.079046
107,107,1,10,4,0.434783,0.184442
108,108,4,19,1,0.826087,0.056462
109,109,1,12,7,0.521739,0.327478
110,110,2,19,3,0.826087,0.135508
111,111,2,1,3,0.043478,0.146801
112,112,2,12,6,0.521739,0.278545
113,113,1,21,3,0.913043,0.131744
114,114,2,16,3,0.695652,0.131744
115,115,1,22,2,0.956522,0.116688
116,116,1,4,5,0.173913,0.222083
117,117,1,9,3,0.391304,0.139272
118,118,1,0,4,0.000000,0.191970
119,119,2,13,6,0.565217,0.259724
120,120,1,2,7,0.086957,0.297365
121,121,1,8,2,0.347826,0.124216
122,122,1,0,2,0.000000,0.109159
123,123,1,22,3,0.956522,0.161857
124,124,1,12,9,0.521739,0.402760
125,125,1,20,4,0.869565,0.169385
0,0,32,9,2,0.391304,0.102807
1,1,8,8,3,0.347826,0.148683
2,2,6,9,6,0.391304,0.268507
3,3,10,13,8,0.565217,0.354580
4,4,50,4,1,0.173913,0.063839
5,5,70,3,1,0.130435,0.064635
6,6,7,9,9,0.391304,0.396308
7,7,22,18,0,0.782609,0.029429
8,8,33,10,2,0.434783,0.103684
9,9,67,15,1,0.652174,0.061293
10,10,24,2,2,0.086957,0.101004
11,11,1,18,6,0.782609,0.252196
12,12,11,1,0,0.043478,0.025664
13,13,26,6,2,0.260870,0.105974
14,14,58,16,0,0.695652,0.028555
15,15,8,15,6,0.652174,0.276662
16,16,57,11,1,0.478261,0.062801
17,17,42,6,1,0.260870,0.060943
18,18,56,13,0,0.565217,0.030382
19,19,17,6,5,0.260870,0.230054
20,20,7,16,6,0.695652,0.267252
21,21,37,13,2,0.565217,0.101021
22,22,43,5,1,0.217391,0.059613
23,23,19,16,3,0.695652,0.147989
24,24,50,7,1,0.304348,0.064442
25,25,11,17,3,0.739130,0.141325
26,26,64,15,0,0.652174,0.026937
27,27,19,11,3,0.478261,0.146404
28,28,62,11,0,0.478261,0.027320
29,29,14,11,4,0.478261,0.185517
30,30,38,9,0,0.391304,0.028726
31,31,20,7,2,0.304348,0.102760
32,32,65,2,0,0.086957,0.031097
33,33,7,11,5,0.478261,0.225309
34,34,17,7,3,0.304348,0.146358
35,35,28,4,2,0.173913,0.103513
36,36,14,5,4,0.217391,0.189819
37,37,36,17,1,0.739130,0.063363
38,38,55,3,0,0.130435,0.029360
39,39,25,17,2,0.739130,0.100728
40,40,45,17,0,0.739130,0.031702
41,41,66,10,0,0.434783,0.030113
42,42,74,13,1,0.565217,0.062362
43,43,3,18,5,0.782609,0.227102
44,44,50,9,1,0.391304,0.060979
45,45,43,6,0,0.260870,0.029850
